Section Name,Route Distance,Distance,Completed?,Notes
"",419,28.06097,FALSE,""
"",420,29.06097,FALSE,""
"",421,30.06097,FALSE,""
"",422,31.06097,FALSE,""
"",423,32.06097,FALSE,""
"",424,33.06097,FALSE,""
"",425,34.06097,FALSE,""
Cove/Cullen Rd  to Bream Tail/Cove Rd,425.31714,6 km,FALSE,""
"",426,0.68286,FALSE,""
"",427,1.68286,FALSE,""
"",428,2.68286,FALSE,""
"",429,3.68286,FALSE,""
"",430,4.68286,FALSE,""
"",431,5.68286,FALSE,""
Bream Tail/Cove Rd to Wintle St,431.51425,7 km,FALSE,""
"",432,0.48575,FALSE,""
"",433,1.48575,FALSE,""
"",434,2.48575,FALSE,""
"",435,3.48575,FALSE,""
"",436,4.48575,FALSE,""
"",437,5.48575,FALSE,""
"",438,6.48575,FALSE,""
Wintle St to Pakiri ,438.8808,30 km,FALSE,""
"",439,0.1192,FALSE,""
"",440,1.1192,FALSE,""
"",441,2.1192,FALSE,""
"",442,3.1192,FALSE,""
"",443,4.1192,FALSE,""
"",444,5.1192,FALSE,""
"",445,6.1192,FALSE,""
"",446,7.1192,FALSE,""
"",447,8.1192,FALSE,""
"",448,9.1192,FALSE,""
"",449,10.1192,FALSE,""
"",450,11.1192,FALSE,""
"",451,12.1192,FALSE,""
"",452,13.1192,FALSE,""
"",453,14.1192,FALSE,""
"",454,15.1192,FALSE,""
"",455,16.1192,FALSE,""
"",456,17.1192,FALSE,""
"",457,18.1192,FALSE,""
"",458,19.1192,FALSE,""
"",459,20.1192,FALSE,""
"",460,21.1192,FALSE,""
"",461,22.1192,FALSE,""
"",462,23.1192,FALSE,""
"",463,24.1192,FALSE,""
"",464,25.1192,FALSE,""
"",465,26.1192,FALSE,""
"",466,27.1192,FALSE,""
"",467,28.1192,FALSE,""
"",468,29.1192,FALSE,""
Pakiri  to Govan Wilson Road,468.40298,11 km,FALSE,""
"",469,0.59702,FALSE,""
"",470,1.59702,FALSE,""
"",471,2.59702,FALSE,""
"",472,3.59702,FALSE,""
"",473,4.59702,FALSE,""
"",474,5.59702,FALSE,""
"",475,6.59702,FALSE,""
"",476,7.59702,FALSE,""
"",477,8.59702,FALSE,""
"",478,9.59702,FALSE,""
"",479,10.59702,FALSE,""
Govan Wilson Road to Ahuroa Remiger Rds ,479.35815,38 km,FALSE,""
"",480,0.64185,FALSE,""
"",481,1.64185,FALSE,""
"",482,2.64185,FALSE,""
"",483,3.64185,FALSE,""
"",484,4.64185,FALSE,""
"",485,5.64185,FALSE,""
"",486,6.64185,FALSE,""
"",487,7.64185,FALSE,""
"",488,8.64185,FALSE,""
"",489,9.64185,FALSE,""
"",490,10.64185,FALSE,""
"",491,11.64185,FALSE,""
"",492,12.64185,FALSE,""
"",493,13.64185,FALSE,""
"",494,14.64185,FALSE,""
"",495,15.64185,FALSE,""
"",496,16.64185,FALSE,""
"",497,17.64185,FALSE,""
"",498,18.64185,FALSE,""
"",499,19.64185,FALSE,""
"",500,20.64185,FALSE,""
"",501,21.64185,FALSE,""
"",502,22.64185,FALSE,""
